deposit,manuscript_section,conclusion,unit_treated_as_independent,actual_clustering,n_naive_units,n_independent_clusters,naive_estimate,naive_uncertainty,clustered_method,clustered_estimate,clustered_uncertainty,verdict,note
Vijay clinical,4,the confound thins between panels: 15.2% short of headroom at 15 days against 3.3% at 60,isolate-panel (each of 210 isolates counted once per panel),the two panels are the SAME isolates,217 + 210,210 isolates,33/217 vs 7/210,unpaired Fisher p = 2e-05,exact McNemar on the paired binary,"26 lost it, 0 gained it, 7 short in both",McNemar p = 2.98e-08,SUPPORTED,"the paired test is the correct one and it is sharper: 26 isolates lose their shortfall between panels and 0 acquire one, so the change is within-isolate and one-directional. The unpaired Fisher test was spending the concordant isolates as though they were evidence."
Vijay clinical,1 / 2,18 isolates rest on the floor at 15 days and 6 at 60,isolate-panel (each of 210 isolates counted once per panel),the two panels are the SAME isolates,217 + 210,210 isolates,18 vs 6,unpaired Fisher p = 0.0194,exact McNemar on the paired binary,11 vs 0 discordant,McNemar p = 0.000977,SUPPORTED,same direction; the paired test is the correct one and it agrees
Vijay clinical,2,"at 60 days the observability counts are 191, 6 and none, 'because the cultures are denser and few readings reach the floor'",isolate-panel (each of 210 isolates counted once per panel),the two panels are the SAME isolates,203 + 197,197 isolates,17 not determinable at 15 d vs 6 at 60 d,no test reported,exact McNemar on the paired binary,"11 isolates lose determinability going the other way, 0 gain it",McNemar p = 0.000977,SUPPORTED,"the mechanism claim -- the confound is a property of a thin assay -- is a within-isolate claim and should be tested as one. It is, and it holds one-directionally."
Vijay clinical,4,"the 60-day cultures are denser, so headroom is larger there",isolate-panel (each of 210 isolates counted once per panel),the two panels are the SAME isolates,420 treated as independent,210 isolates,median 4.42 vs 6.00 log10,unpaired Mann-Whitney p = 3.09e-49,Wilcoxon signed-rank on the within-isolate change,"median gain 1.58 log10 (193 up, 0 down)",signed-rank p = 1.27e-33,SUPPORTED,"the naive p was the smaller of the two, and it was not a p-value about anything: it compared 210 isolates with the same 210 isolates. The signed-rank test asks the question that was meant -- does an isolate gain headroom between panels -- and answers it for 193 isolates against 0."
Vijay clinical,4,the spread of starting densities more than halves between panels (IQR 1.00 to 0.42 log10),isolate-panel (each of 210 isolates counted once per panel),the two panels are the SAME isolates,420,210 isolates,IQR 1.00 -> 0.42,none reported in the manuscript,paired bootstrap resampling whole isolates,difference -0.58 log10,"95% CI [-0.58, -0.54]",SUPPORTED,the manuscript quoted this with no uncertainty at all; it now has one
Vijay clinical,4,the difference between panels in the growth association is itself supported (interaction p = 0.0072),isolate-panel (each of 210 isolates counted once per panel),the two panels are the SAME isolates,unknown,210 isolates,interaction p = 0.0072,as quoted,not recomputable,no generating code found in this repository,n/a,NOT SUPPORTED,"grep over src/ finds no script that computes an interaction between panels, and no audit line pins it. It is also a between-panel comparison on repeated measures, so whatever produced it must be a within-isolate contrast. Recompute it or cut it."
ERA4TB six-laboratory,5,"starting density separates flasks that ever crossed below the assay floor from those that never did (AUC 0.974, p = 1.2e-10)",flask,flasks nested in six laboratories; the exposure is 87% a laboratory-level variable,67,6,AUC 0.974,Mann-Whitney p = 1.2e-10,"exact laboratory-level test (3 crossed vs 3 did not); cluster bootstrap over laboratories; permutation of crossing within laboratory, and within laboratory AND treatment arm","AUC 0.974, cluster-bootstrap 95% CI [0.917, 1]",laboratory-level exact p = 0.10 two-sided (floor 0.10); permutation within laboratory p 5e-05; within laboratory AND arm p = 0.50 on only 2 informative strata of 24,NOT SUPPORTED,"the estimate is fine; the p-value is not. Three laboratories cleared and three did not, and 0.10 is the smallest two-sided p a three-against-three split can return, so no arrangement of this deposit could have reached 0.05 at the level where the comparison lives. Holding the laboratory fixed the association still looks strong, but that shuffle leaves the treatment arm free, and the day 0 to 1 window used to measure the starting density is not arm-neutral: the arms treated at ten times MIC have already lost most of their population inside that window and they are the arms that clear, so the arm that never clears also reads highest. Hold the arm fixed as well and only two of 24 laboratory-arm cells still contain both outcomes -- six distinct arrangements, a smallest attainable p of 0.17. There is essentially no within-laboratory evidence in the deposit either way. The perfect ordering of the six laboratories is real and should be reported as an ordering; 1.2e-10 is an artefact of counting 67 flasks as 67 laboratories."
ERA4TB six-laboratory,5,"in a Cox model, institutes D, E and F carry p = 0.015, 0.016, 0.015, which adjustment for starting density moves to 0.138, 0.172, 0.576",flask,flasks nested in six laboratories; the covariate is CONSTANT within cluster,67,6,p = 0.015 / 0.016 / 0.015 -> 0.138 / 0.172 / 0.576,model-based Wald,cluster-robust sandwich on six clusters,no valid estimate,"the meat matrix has rank at most 5 against 6 parameters, so the robust covariance is singular; and each laboratory appears once, so no permutation of the laboratory label exists either. Fitting it anyway returns a smallest robust p of 1.1e-25 for institute C, which is the collapse the rank argument predicts, not a stronger result",NOT SUPPORTED,"the design admits no between-laboratory p-value at all. The comparison of the two fits remains a legitimate DESCRIPTION -- adding a number makes the labels redundant -- but it must be reported without p-values, and Section 5 currently reports six of them."
ERA4TB six-laboratory,5,the log-rank test separates the six laboratories on time to first crossing,flask,flasks nested in six laboratories; the tested label IS the cluster,67,6,chi2 across institutes,p = 2.3e-10,none available: the grouping variable is the cluster,n/a,"a log-rank test asks whether flasks drawn from different groups have different event times, and assumes flasks within a group are independent. Here they are three flasks of one arm in one laboratory.",NOT SUPPORTED,"the same defect as the Cox p-values, in the simplest possible test. That laboratories differ in clearance is visible without a test: three produce no event at all."
ERA4TB six-laboratory,5,"institute C remains distinguishable after adjustment (HR 5.27, p < 0.001)",flask,"one laboratory, three flasks per arm",67,1,HR 5.27,p < 0.001,none available,n/a,a single cluster cannot be tested against the others without between-cluster replication,NOT SUPPORTED,"C is one laboratory. That it is also the fastest killer is corroborating evidence and should be reported as that, not as a hazard ratio with a p-value."
ERA4TB six-laboratory,5,at ten times MIC of moxifloxacin the kill rate spans 5.2-fold between laboratories (0.090 to 0.464),laboratory-arm cell,six laboratories,6,6,5.2-fold,none reported,cluster bootstrap over whole laboratories,5.2-fold,"95% CI [1.3, 5.2]-fold; between-laboratory SD of log10 rate 0.265 (95% CI [0.061, 0.35])",WEAKENED,"a range over six draws. The point estimate is right and the qualitative claim -- every laboratory produces a rate, and they are within an order of magnitude -- holds, but the figure 5.2 should carry its interval."
ERA4TB six-laboratory,5,at one times MIC five of six laboratories record net growth,laboratory-arm cell,six laboratories,6,6,5 of 6,none reported,Jeffreys interval on six clusters,5/6 = 0.83,"95% CI [0.44, 0.98]",WEAKENED,"true as reported, but 'five of six' is a proportion with an interval running from about a third to nearly all; the claim that survives is that the drug does not kill at 1x, not a rate for the field."
ERA4TB six-laboratory,5 / Limitations,87.0% of the variance in flask starting density lies between laboratories,flask,flasks nested in six laboratories,85,6,87.0%,none reported,permutation of the laboratory label across flasks,87.0%,permutation p < 2e-04; the null share for this design is 6.0% and its 95th percentile 12.7%; holding the treatment arm fixed as well it is 92.7% (p = < 2e-04),SUPPORTED,"the one between-laboratory claim with a valid exact test behind it, because flasks are exchangeable across laboratories under the null. It is also the claim that most limits this paper, which is the right way round."
ERA4TB six-laboratory,7,36.6% of 191 cross-laboratory pairs are inversions (95% CI 30.1-43.6),pair of flasks,each flask enters many pairs; flasks nested in six laboratories,191,6,36.6%,"Jeffreys 95% CI [30.1, 43.6]%",cluster bootstrap over whole laboratories; also over flasks within laboratory; also delete-one-laboratory jackknife,36.6%,"laboratories [3.01, 72.4]%; flasks-within-laboratory [24.7, 50.5]%; jackknife [-25.5, 98.8]%",WEAKENED,the naive interval treats 191 pairs built from 42 flasks in six laboratories as 191 independent Bernoulli trials. The estimate holds and the interval roughly doubles.
ERA4TB six-laboratory,7,under the strictest rate separation the inversion rate is 21.3% of 94 pairs (95% CI 13.9-30.3),pair of flasks,each flask enters many pairs; flasks nested in six laboratories,94,6,21.3%,"Jeffreys 95% CI [13.9, 30.3]%",cluster bootstrap over whole laboratories,21.3%,"laboratories [0, 82.4]%; flasks-within-laboratory [7.59, 42.7]%",WEAKENED,'one comparison in five inverts under the strictest criterion the data supports' becomes a much softer statement once the interval respects six laboratories.
ERA4TB six-laboratory,7,the criterion D_A/D_B > b_A/b_B calls 83.8% of pairs correctly,pair of flasks,each flask enters many pairs; six laboratories,191,6,83.8%,none reported,cluster bootstrap over whole laboratories,83.8%,"95% CI [67, 98.1]%",SUPPORTED,"the interval stays far above the 50% a coin would give, which is the comparison the claim needs"
ERA4TB six-laboratory,5 / 7,the laboratory effect lands on the duration endpoint and not on the rate; the rate is 'far more reproducible',flask,"flasks nested in six laboratories, within treatment arm",42,6,rate spans 5.2-fold and every laboratory yields one; three of six yield no duration at all,no test reported,"permutation of the laboratory label across flasks, within arm for the rate",laboratory explains 87.0% of the starting density and 33.0% of the log kill rate within arm,density permutation p < 2e-04; rate permutation p 0.0048 against a null share of 11.0%,WEAKENED,"the comparative claim survives -- the laboratory owns nearly three times as much of the inoculum as of the rate, and it owns the duration endpoint outright, since three laboratories produce none. But the laboratory effect on the RATE is real and detectable once the treatment arm is held fixed, so 'the rate travels' must mean it travels better, not that it is laboratory-independent. Both tests are exact under exchangeability of flasks, which is the one between-laboratory question six clusters can actually answer."
ERA4TB six-laboratory,6,the deepest demonstrable kill differs by 2.33 log10 between laboratories at one plating volume,day-zero reading,readings nested in the laboratories that deposit an untreated day-zero arm at 100 uL,12,4,delta h = 2.33 log10 (216-fold),none reported,cluster bootstrap over whole laboratories,delta h = 2.33 log10,"95% CI [0.047, 2.3] log10 over 4 laboratories; between-laboratory SD 0.96 (95% CI [0.023, 1.2])",WEAKENED,"the figure rests on 4 laboratories (B, C, D, F), not the five Section 6 lists by name and not the six of the exercise. The two that drop out drop out for different reasons and only one of them is a missing deposit: E deposits no untreated day-zero row at any volume, while A deposits three at 100 uL that are flagged above the quantification limit and carry no colony count, so its measurable depth at this volume is censored from above rather than absent. A max-minus-min over 4 draws with a bootstrap lower bound near zero. The claim that measurable depth varies materially under one protocol survives and is corroborated by the plated-volume term, which is a design choice rather than a sample; the number 2.33 should carry its interval and its laboratory count."
ERA4TB six-laboratory,6,including the choice of plated volume widens the spread in measurable depth to 4.40 log10,laboratory-by-volume channel,"the plated volume is a design choice, not a sampled cluster",up to 4 volumes x 5 laboratories,6,delta h = 4.40 log10,none reported,no resampling required for the volume term,delta h = 4.40 log10,"1.6 log10 of it is the volume alone (2.5 uL single drop against 100 uL quadruplicate), which is exact arithmetic on L = 1000/V and carries no sampling uncertainty at all",SUPPORTED,"the strongest form of the Section 6 argument, and the one that does not depend on six clusters: the pipette moves the measurable floor by a known amount whatever the laboratory does. Lead with this rather than with the between-laboratory range."
ERA4TB six-laboratory,5,of 64 treated series the final step is not a decline in 48 (75%),series (one per treated flask),series nested in six laboratories,64,6,75.0%,"Jeffreys 95% CI [63.5, 84.3]%",cluster bootstrap over whole laboratories,75.0%,"95% CI [63.6, 86.8]%",SUPPORTED,the interval widens but stays a clear majority
ERA4TB six-laboratory,5,44 of 64 series end more than one log10 above their own nadir,series (one per treated flask),series nested in six laboratories,64,6,68.8%,"Jeffreys 95% CI [56.8, 79.1]%",cluster bootstrap over whole laboratories,68.8%,"95% CI [52.6, 77.9]%",SUPPORTED,'usually a transient rather than an endpoint' needs the lower bound to stay above one in two
ERA4TB six-laboratory,Methods,83 of 498 below-limit flags (16.7%) are contradicted by another plating of the same sample at the same visit,flag (one reading),readings within flask-visits within flasks within six laboratories,498,6,16.7%,"Jeffreys 95% CI [13.6, 20.1]%",cluster bootstrap over whole laboratories,16.7%,"95% CI [8.65, 41.8]%",SUPPORTED,"the methodological point is that the number is not zero, and the clustered interval excludes zero comfortably"
